gene,logfoldchange,pval,pval_adj,score
NF1,2.8682706,0.035560609202855496,0.9269594877670725,2.213266
VEZT,2.093473,0.03560333075002931,0.9269594877670725,2.212049
NEMP2-DT,2.471057,0.0374888523092597,0.9269594877670725,2.2079062
PLCB4,3.6424608,0.0392732892192472,0.9269594877670725,2.2078695
PDE11A,6.6558003,0.0441942260727708,0.9269594877670725,2.205842
ENSG00000228061,3.2155015,0.0376762947853202,0.9269594877670725,2.2048202
COL6A5,6.4206614,0.04402096856791495,0.9269594877670725,2.204783
ENSG00000285816,3.4822073,0.04066116386972615,0.9269594877670725,2.2027285
ASTN1,3.8239799,0.03770264114526778,0.9269594877670725,2.201609
CEP72,3.0439384,0.04019249270686436,0.9269594877670725,2.2007253
FAM120B,2.1894834,0.03638657701743379,0.9269594877670725,2.1986442
NUP50,2.5195932,0.03873946181918771,0.9269594877670725,2.1972866
FBLN7,3.7912803,0.04231871452932782,0.9269594877670725,2.1966655
PGM5P2-1,2.9700768,0.038321578206375224,0.9269594877670725,2.190919
CCNL1,2.2720714,0.038560502319913516,0.9269594877670725,2.1889813
NBPF8,2.9834254,0.04168266031701965,0.9269594877670725,2.1820836
SUZ12P1,1.8466913,0.03784928789530622,0.9269594877670725,2.1803918
IGSF9B,2.0728781,0.0378993142204168,0.9269594877670725,2.1791527
USP38-DT,2.4431152,0.038848076038510364,0.9269594877670725,2.1785254
ADAM9,2.5754836,0.04083023682489417,0.9269594877670725,2.1756217
ENSG00000259675,4.5295796,0.04398358693444864,0.9269594877670725,2.1723716
CPLX2,2.0560472,0.03869782277553883,0.9269594877670725,2.1721036
SCAPER,3.5287511,0.03941219879196126,0.9269594877670725,2.1719294
PHF3,2.067853,0.0393922876338155,0.9269594877670725,2.1714647
CNKSR2,3.206201,0.0402831598520528,0.9269594877670725,2.170393
CCDC85A,3.0859325,0.03970691839444193,0.9269594877670725,2.1692927
SBF2,3.6252337,0.03982078267825449,0.9269594877670725,2.1682432
CLTCL1,2.0769281,0.03982447371798872,0.9269594877670725,2.1631339
DPY19L2P1,1.9448156,0.03923791270654909,0.9269594877670725,2.1630015
ATXN2,2.0834012,0.03934465904058599,0.9269594877670725,2.162058
FIGN,2.9689636,0.04101752308806838,0.9269594877670725,2.1613631
ATG7,2.2153823,0.040295604034666144,0.9269594877670725,2.160673
FYN,3.6819727,0.040625285286319555,0.9269594877670725,2.159418
LINC02513,3.983128,0.04545088409234286,0.9269594877670725,2.1580904
PKD2,2.0894477,0.040590912873082925,0.9269594877670725,2.1548498
UNC79,3.28615,0.040782873089286284,0.9269594877670725,2.1545644
FGD4,2.1519127,0.04049325354990832,0.9269594877670725,2.1540823
ST6GALNAC5,4.9681206,0.04379724663262079,0.9269594877670725,2.1516817
ZNF407,2.461139,0.04186882008031046,0.9269594877670725,2.1513586
CNTNAP5,5.525321,0.04036802694019972,0.9269594877670725,2.1500337
TUT4,2.2852807,0.040646118997749045,0.9269594877670725,2.149273
SYNE2,5.2243795,0.04049058437765217,0.9269594877670725,2.1489666
ENSG00000283415,3.5704358,0.046161401632041105,0.9269594877670725,2.1469932
SFI1,1.8373836,0.04082911419725892,0.9269594877670725,2.1453657
ENSG00000308468,7.4165835,0.04991374090921844,0.9269594877670725,2.1421926
INTU,2.4163294,0.042730490437373744,0.9269594877670725,2.1421213
BACH1,2.3271754,0.0414798680022171,0.9269594877670725,2.142067
FAM169A,2.4344838,0.04383592963162404,0.9269594877670725,2.138418
PRPSAP1,2.1665845,0.04325086042266327,0.9269594877670725,2.1351862
CDKAL1,2.6095665,0.043324017127850195,0.9269594877670725,2.129448
FAM53B,2.2554939,0.042940801219661096,0.9269594877670725,2.1283648
KIF5C,2.8342967,0.04259236211075836,0.9269594877670725,2.1278572
AKAP6,3.4327564,0.04233301299688414,0.9269594877670725,2.1275804
LUC7L3,5.1365232,0.04300031178751043,0.9269594877670725,2.1264057
NBN,2.9231303,0.04697364179804962,0.9269594877670725,2.123488
HAUS1,2.4542196,0.0454991620857188,0.9269594877670725,2.1220095
ZNF655,2.295927,0.045500712943059414,0.9269594877670725,2.121662
MCF2L2,2.4585166,0.04416608143607189,0.9269594877670725,2.1204095
SAMD12,2.23854,0.043247282422745593,0.9269594877670725,2.1199837
STAT5B,1.9288795,0.043838064873758326,0.9269594877670725,2.1156983
C11orf58,2.1791334,0.04492378941220901,0.9269594877670725,2.1138697
ENSG00000288902,5.067761,0.05159847259264159,0.9269594877670725,2.1134198
MAPK4,3.7972307,0.05075353650144509,0.9269594877670725,2.1097968
HMGB1,2.3448775,0.04553063359547803,0.9269594877670725,2.1061234
KDM2A,2.2067623,0.045397674756420675,0.9269594877670725,2.1042054
BPTF,2.517705,0.044719815008095264,0.9269594877670725,2.1028364
KCNQ1OT1,3.551154,0.04499852570049311,0.9269594877670725,2.1012974
MCM9,2.86282,0.04906253604987974,0.9269594877670725,2.0985143
ENSG00000243797,6.082697,0.05417927890175486,0.9269594877670725,2.0970647
RTN4,2.5549383,0.04559484247742253,0.9269594877670725,2.0966673
MAP3K1,2.5628912,0.046579417942221854,0.9269594877670725,2.0942757
ZC3H12C,2.7637002,0.04984838547588915,0.9269594877670725,2.0925863
ZNF252P-1,3.1235728,0.04974689801126019,0.9269594877670725,2.0925672
USP33,1.910803,0.046096865453048204,0.9269594877670725,2.092435
STK33,2.4437652,0.04595519956943464,0.9269594877670725,2.0922527
ACER3,1.9654396,0.0460096844223258,0.9269594877670725,2.0920715
